Question #,EN,FR,DE,EN long
2,Male,Masculin,Männlich,Male
2,Female,Femme,Weiblich,Female
2,Non-binary,Non binaire,Nicht-binär,Non-binary
2,Prefer not to say,Ne souhaite pas répondre,Keine Angabe,Prefer not to say
4,"less than 21,999","moins de 21,999",Weniger als 21.999,"less than 21,999"
4,"22,000 - 35,999","22,000 - 35,999",22.000 - 35.999,"22,000 - 35,999"
4,"36,000 - 54,999","36,000 - 54,999",36.000 - 54.999,"36,000 - 54,999"
4,"55,000 - 71,999","55,000 - 71,999",55.000 - 71.999,"55,000 - 71,999"
4,"72,000 or more","72,000 ou plus",72.000 oder mehr,"72,000 or more"
4,Prefer not to say,Ne souhaite pas répondre,Keine Angabe,Prefer not to say
7,Road,Vélo de route,Rennrad,Road bike
7,Mountain,Vélo de montagne,Mountainbike,Mountain bike
7,Hybrid,Vélo hybride,Hybrid-Fahrrad,Hybrid bike
7,Bike share,Vélo libre-service,Leihfahrrad,Bike share bike
7,E-bike,Vélo électrique,E-bike,E-bike
7,Cruiser / City,Cruiser / vélo de ville,Cruiser / Cityrad,Cruiser / City bike
7,Cargo,Vélo cargo,Lastenfahrrad,Cargo bike
7,Single-speed,Vélo monovitesse (singlespeed),Singlespeed-Bike,Single-speed bike
7,Foldable,Vélo pliable,Klappfahrrad,Foldable bike
8,Less than 499,Moins de 499,Weniger als 499,Less than 499
8,500 - 749,500 - 749,500 - 749,500 - 749
8,750 - 1249,750 - 1249,750 - 1249,750 - 1249
8,1250 - 1999,1250 - 1999,1250 - 1999,1250 - 1999
8,2000 - 3499,2000 - 3499,2000 - 3499,2000 - 3499
8,3500 - 4999,3500 - 4999,3500 - 4999,3500 - 4999
8,5000 or more,5000 ou plus,5000 oder mehr,5000 or more
9,United States,États Unis,Vereinigte Staaten,United States
9,Canada,Canada,Kanada,Canada
9,Netherlands,Pays-Bas,Niederlande,Netherlands
9,France,France,Frankreich,France
9,Germany,Allemagne,Deutschland,Germany
9,United Kingdom,Royaume-Uni,Großbritannien,United Kingdom
9,Belgium,Belgique,Belgium,Belgium
9,Switzerland,Suisse,Schweiz,Switzerland
9,Colombia,Colombie,Colombia,Colombia
9,Danmark,Danemark,Danmark,Danmark
9,Argentina,Argentine,Argentina,Argentina
9,Andorra,Andorre,Andorra,Andorra
9,Czech Republic,République Tchèque,Tschechische Republik,Czech Republic
9,Poland,Pologne,Polen,Poland
9,Austria,Autriche,Österreich,Austria
9,Angola,Angola,Angola,Angola
9,Japan,Japon,Japan,Japan
10,NATURE,"NATURE - montagnes, forêts, etc.","NATUR - Berge, Wälder, usw.","NATURE - mountains, forests, etc."
10,RURAL,"RURAL - village, campagne, etc.","LÄNDLICH - Dorf, Land, usw.","RURAL - village, country, etc."
10,TOWN,"VILLE - quartier, banlieue, etc.","WOHNGEBIET - Nachbarschaft, Vorort, usw.","TOWN - neighborhood, suburban, etc."
10,CITY,"MÉTROPOLE - urbain, dense, etc.","STADT - Großstadt, urban, dicht besiedelt usw.","CITY - urban, dense, etc."
12,It’s more convenient,C'est plus pratique,Es ist praktischer,It’s more convenient
12,It’s more reliable,C'est plus fiable,Es ist zuverlässiger,It’s more reliable
12,It’s faster,C'est plus rapide,Es ist schneller,It’s faster
