Persona #  1,Persona #  2,Persona #  3,Persona #  4,Persona #  5
the weather doesn't suit me,activity_fitnesstraining_high,rain,activity_commuting_low,activity_mountain_low
weekly_rider,activity_touring_high,activity_chores/errands_high,monthly_rider,i want to reduce my environmental impact
ios,exp_mid,hot/humid,activity_elsetransportation_low,the route is too long/steep
city,it’s my hobby/interest,snow/ice,activity_racing_low,activity_fitnesstraining_low
male,so i don't have to look at my phone while riding,activity_elsetransportation_high,the weather doesn't suit me,activity_racing_low
activity_commuting_high,i want to be healthy,activity_commuting_high,temperate,activity_workingtool_low
activity_mountain_low,activity_pleasurerides_high,daily_rider,ios,exp_mid
temperate,activity_workingtool_low,high_user,activity_workingtool_low,45-54
high_user,male,to help keep my bike safe,it’s more fun,i want to be healthy
i have to carry things with me,temperate,exp_high,activity_pleasurerides_high,to help me navigate
