Persona #  1,Persona #  2,Persona #  3,Persona #  4,Persona #  5
activity_mountain_low,activity_commuting_low,rain,high_user,so i don't have to look at my phone while riding
city,activity_elsetransportation_low,activity_elsetransportation_high,to help keep my bike safe,low_user
activity_touring_low,ios,activity_chores/errands_high,i want to be healthy,i backed smarthalo 2
activity_commuting_high,activity_chores/errands_low,activity_touring_high,activity_racing_low,to help me navigate
activity_fitnesstraining_low,it’s my hobby/interest,hot/humid,i want to reduce my environmental impact,male
ios,activity_workingtool_low,exp_high,town,the weather doesn't suit me
activity_racing_low,monthly_rider,activity_fitnesstraining_high,activity_mountain_low,monthly_rider
activity_chores/errands_high,activity_fitnesstraining_high,activity_pleasurerides_high,activity_workingtool_low,it’s more fun
hot/humid,i want to be healthy,activity_commuting_high,temperate,activity_workingtool_low
temperate,the weather doesn't suit me,temperate,android,temperate
