Persona #  1,Persona #  2,Persona #  3,Persona #  4,Persona #  5
activity_commuting_low,city,exp_high,male,hybrid bike
55+,activity_commuting_high,activity_touring_high,it’s more fun,high_user
ios,activity_chores/errands_high,activity_fitnesstraining_high,"72,000 or more",to help keep my bike safe
it’s my hobby/interest,activity_mountain_low,hot/humid,monthly_rider,to help me stay safe (nightlight - safest routes)
activity_pleasurerides_high,activity_elsetransportation_high,rain,activity_workingtool_low,android
the weather doesn't suit me,activity_racing_low,activity_pleasurerides_high,activity_elsetransportation_low,activity_racing_low
i want to be healthy,hot/humid,it's not safe for me,the weather doesn't suit me,activity_fitnesstraining_mid
activity_workingtool_low,activity_touring_low,male,because it's cool!,i want to be healthy
activity_chores/errands_low,daily_rider,temperate,low_user,male
activity_mountain_low,rain,activity_elsetransportation_high,activity_racing_low,750 - 1249
